No,Name,Specialty,Suggested filename
1,ალექსანდრე კუზანოვი,პლასტიკური ქირურგია (სტაციონარი),ალექსანდრე კუზანოვი.jpg
2,ანა ჩიკვაიძე,ენდოკრინოლოგი,ანა ჩიკვაიძე.jpg
3,არსენ  გვენეტაძე,გინეკოლოგია (ამბულატორია),არსენ  გვენეტაძე.jpg
4,არჩილ ძნელაძე,ენდოსკოპია,არჩილ ძნელაძე.jpg
5,ბადრი ქამადაძე,ანესთეზიოლოგია (ამბულატორია),ბადრი ქამადაძე.jpg
6,ბაია ბალანჩივაძე,ფსიქოლოგია,ბაია ბალანჩივაძე.jpg
7,ბაკური არაბული,ენდოკრინოლოგია (ამბულატორია),ბაკური არაბული.jpg
8,ბეჟან ხელაშვილი,პლასტიკური ქირურგია (ამბულატორია),ბეჟან ხელაშვილი.jpg
9,ბეჟან ხელაშვილი,ორთოპედ-ტრავმატოლოგი,ბეჟან ხელაშვილი.jpg
10,ბეჟან ხელაშვილი,პლასტიკური ქირურგია (სტაციონარი),ბეჟან ხელაშვილი.jpg
11,გელა  ხოზრევანიძე,ოტორინოლარინგილოგია (ამბულატორია),გელა  ხოზრევანიძე.jpg
12,გელა მელაძე,ნევროლოგი,გელა მელაძე.jpg
13,გენადი ხოზრევანიძე,ბავშვთა ქირურგია (სტაციონარი),გენადი ხოზრევანიძე.jpg
14,გენო ქურიძე,ზოგადი ქირურგი,გენო ქურიძე.jpg
15,გიორგი ფუხაშვილი,კარდიოლოგია(ამბულატორია),გიორგი ფუხაშვილი.jpg
16,გიორგი ხვადაგიანი,უროლოგია (ამბულატორია),გიორგი ხვადაგიანი.jpg
17,გოგიტა ქათამაძე,კარდიოლოგია(ამბულატორია),გოგიტა ქათამაძე.jpg
18,გრიგოლ  ჩახვაძე,რენტგენოლოგია,გრიგოლ  ჩახვაძე.jpg
19,გრიგოლ თოფურია,ოტორინოლარინგილოგია (ამბულატორია),გრიგოლ თოფურია.jpg
20,დავით  ბასილია,რეანიმაცია / ანესთეზიოლოგია (სტაციონარი),დავით  ბასილია.jpg
21,დავით  მათიაშვილი,კარდიოქირურგია(ამბულატორია),დავით  მათიაშვილი.jpg
22,დალი შავაძე,სტაციონარი,დალი შავაძე.jpg
23,დალილა ცივაძე,პედიატრია/ოჯახის ექიმი,დალილა ცივაძე.jpg
24,დარეჯან ეფაძე,ჰემატოლოგია (სტაციონარი),დარეჯან ეფაძე.jpg
25,დიანა ვერძაძე,ფსიქიატრია,დიანა ვერძაძე.jpg
26,ეთერი გოგოლიშვილი,საოპერაციო,ეთერი გოგოლიშვილი.jpg
27,ეკატერინე გურგენიძე,რეანიმაცია / ანესთეზიოლოგია (სტაციონარი),ეკატერინე გურგენიძე.jpg
28,ელგუჯა ბოლქვაძე,ანგიოქირურგი,ელგუჯა ბოლქვაძე.jpg
29,ელენე კაკაბაძე,ალერგოლოგია,ელენე კაკაბაძე.jpg
30,ელენე ლომთათიძე,პედიატრი,ელენე ლომთათიძე.jpg
31,ესმა  გოგოლიშვილი,გინეკოლოგია (სტაციონარი),ესმა  გოგოლიშვილი.jpg
32,ვასილ ხოზრევანიძე,ოტორინოლარინგოლოგი,ვასილ ხოზრევანიძე.jpg
33,ვახტანგ სარუხანიშვილი,რადიოლოგი,ვახტანგ სარუხანიშვილი.jpg
34,ვიკტორია ბაბენკო,—,ვიკტორია ბაბენკო.jpg
35,ვიოლა  ბასილაძე,ბავშვთა ნევროლოგია,ვიოლა  ბასილაძე.jpg
36,ზურაბ გულბანი,თვალის ექიმი / ოფთალმოლოგი,ზურაბ გულბანი.jpg
37,ზურაბ ქუთელია,ნეიროქირურგი,ზურაბ ქუთელია.jpg
38,თამარ ათანასოვი,ჰემატოლოგია (ამბულატორია),თამარ ათანასოვი.jpg
39,თამარ ამირეზაშვილი,პედიატრი,თამარ ამირეზაშვილი.jpg
40,თამარ ბასილაძე,დერმატოლოგია,თამარ ბასილაძე.jpg
41,თამარ დაბრუნდაშვილი,"ტრიქოლოგია,თმის გადანერგვა",თამარ დაბრუნდაშვილი.jpg
42,თამარ კონცელიძე,ონკოქირურგია (ამბულატორია),თამარ კონცელიძე.jpg
43,თამარ ლომიძე,ბავშვთა ოტორინოლარინგოლოგი,თამარ ლომიძე.jpg
44,თამარ პეშკოვა,ენდოკრინოლოგ-ნუტრიციოლოგი,თამარ პეშკოვა.jpg
45,თამარ ჩხეიძე,საოპერაციო,თამარ ჩხეიძე.jpg
46,თამარ ხუხუნაიშვილი,ადმინისტრაცია,თამარ ხუხუნაიშვილი.jpg
47,თეა დანელია,თერაპია(ამბულატორია),თეა დანელია.jpg
48,თეიმურაზ ორაგველიძე,ოტორინოლარინგილოგია (ამბულატორია),თეიმურაზ ორაგველიძე.jpg
49,თეიმურაზ ორაგველიძე,ოტორინოლარინგოლოგია (სტაციონარი),თეიმურაზ ორაგველიძე.jpg
50,თეონა ბოლქვაძე,დერმატო-ვენეროლოგი,თეონა ბოლქვაძე.jpg
51,თინათინ ნიჟარაძე,ბავშვთა ინფექციონისტი,თინათინ ნიჟარაძე.jpg
52,თინათინ ჯაში,ულტრასონოგრაფია,თინათინ ჯაში.jpg
53,ია ხარაზიშვილი,გინეკოლოგი,ია ხარაზიშვილი.jpg
54,ივანე კუზანოვი,პლასტიკური ქირურგია (სტაციონარი),ივანე კუზანოვი.jpg
55,ინგა ბოლქვაძე,რეანიმაცია / ანესთეზიოლოგია (სტაციონარი),ინგა ბოლქვაძე.jpg
56,ინდირა მამუჭაძე,ამბულატორია,ინდირა მამუჭაძე.jpg
57,ირაკლი ბასილაძე,ჰემატოლოგია (ამბულატორია),ირაკლი ბასილაძე.jpg
58,ირაკლი ბებიაშვილი,"ტრიქოლოგია,თმის გადანერგვა",ირაკლი ბებიაშვილი.jpg
59,ირაკლი ბეჟანიძე,პროქტოლოგია(სტაციონარი),ირაკლი ბეჟანიძე.jpg
60,ირაკლი შონია,სისხლძარღვთა ქირურგი,ირაკლი შონია.jpg
61,ირინა ზამთარაძე,ნევროლოგია,ირინა ზამთარაძე.jpg
62,ირინა ხვადაგიანი,ალერგოლოგ-იმუნოლოგი,ირინა ხვადაგიანი.jpg
63,ირინე სეფერიძე,საოპერაციო,ირინე სეფერიძე.jpg
64,ირმა  აბაშიძე,სტაციონარი,ირმა  აბაშიძე.jpg
65,ირმა ხვადაგიანი,ოჯახის ექიმი,ირმა ხვადაგიანი.jpg
66,კახა ბესელია,კარდიოქირურგია(ამბულატორია),კახა ბესელია.jpg
67,კობა სახეჩიძე,ზოგადი ქირურგია (ამბულატორია),კობა სახეჩიძე.jpg
68,კობა ქამაშიძე,გინეკოლოგია (სტაციონარი),კობა ქამაშიძე.jpg
69,ლალი ხომერიკი,კარდიოლოგი,ლალი ხომერიკი.jpg
70,ლევან  დოლიძე,უროლოგია (ამბულატორია),ლევან  დოლიძე.jpg
71,ლევან კონცელიძე,ყბა-სახის ქირურგია(სტაციონარი),ლევან კონცელიძე.jpg
72,ლელა  ირემაძე,გინეკოლოგია (ამბულატორია),ლელა  ირემაძე.jpg
73,ლელა გურიელიძე,ლაბორატორია,ლელა გურიელიძე.jpg
74,ლელა ქურიძე,გასტროენტეროლოგი,ლელა ქურიძე.jpg
75,ლელა ხვადაგიანი,პედიატრი / ნეონატოლოგი,ლელა ხვადაგიანი.jpg
76,ლია ვარშალომიძე,ფსიქოთერაპევტი,ლია ვარშალომიძე.jpg
77,ლია საგინაძე,რევმატოლოგია,ლია საგინაძე.jpg
78,ლია ჯორბენაძე,ექიმი-ლაბორანტი,ლია ჯორბენაძე.jpg
79,ლინა მოწყობილი,ვიდეო ეეგ (ამბულატორია),ლინა მოწყობილი.jpg
80,მაგნიტო-რეზონანსული  ტომოგრაფია,მაგნიტო –რეზონანსული ტომოგრაფია,მაგნიტო-რეზონანსული  ტომოგრაფია.jpg
81,მავლინა ესეფიძე,საოპერაციო,მავლინა ესეფიძე.jpg
82,მაია ბერიაშვილი,ფსიქოლოგი,მაია ბერიაშვილი.jpg
83,მაია ბერიძე,ბავშვთა ნევროლოგია,მაია ბერიძე.jpg
84,მაია დიასამიძე,პოსტ-ოპი (სტაციონარი),მაია დიასამიძე.jpg
85,მაია პაიკიძე,დერმატოლოგია,მაია პაიკიძე.jpg
86,მაკა ხოზრევანიძე,ოტორინოლარინგოლოგი,მაკა ხოზრევანიძე.jpg
87,მალხაზ ელიაშვილი,პედიატრი / ოჯახის ექიმი,მალხაზ ელიაშვილი.jpg
